timestamp,energy_consumed_kWh,temperature_C,humidity_%,wind_speed_mps,is_sunny,cloud_cover_%,solar_irradiance_Wm2,air_density_kgm3,precipitation_mm,runoff_coefficient
2020-01-01 00:00:00,18900.02,11.8,35.1,5.7,0,31.0,614.9,1.235,3.6,0.07
2020-01-01 00:15:00,19664.51,15.2,42.3,5.9,0,16.1,723.8,1.224,7.6,0.09
2020-01-01 00:30:00,19971.75,16.7,41.8,5.4,1,30.1,560.4,1.22,7.6,0.09
2020-01-01 00:45:00,19463.87,17.0,44.7,8.0,1,49.9,469.7,1.219,6.6,0.08
2020-01-01 01:00:00,18466.3,23.3,39.1,6.4,1,74.2,210.0,1.2,3.7,0.07
2020-01-01 01:15:00,19007.24,12.1,45.0,7.5,0,23.1,680.5,1.234,6.1,0.08
2020-01-01 01:30:00,19210.06,18.6,47.8,8.8,0,44.0,542.7,1.214,3.3,0.07
2020-01-01 01:45:00,18901.59,18.1,48.3,1.7,0,13.8,763.5,1.216,5.7,0.08
2020-01-01 02:00:00,18633.88,18.9,46.3,4.2,0,81.6,148.6,1.213,1.2,0.06
2020-01-01 02:15:00,19619.67,13.3,46.0,2.0,0,19.4,801.7,1.23,8.1,0.09
2020-01-01 02:30:00,19547.17,15.4,40.6,2.9,0,68.2,301.8,1.224,0.5,0.05
2020-01-01 02:45:00,19452.45,15.4,30.7,3.0,0,57.1,404.6,1.224,5.0,0.08
2020-01-01 03:00:00,19339.8,13.6,49.6,2.4,1,53.7,400.0,1.229,1.3,0.06
2020-01-01 03:15:00,18422.19,23.0,32.3,8.2,0,50.5,436.0,1.201,0.3,0.05
2020-01-01 03:30:00,18636.83,14.6,30.3,3.1,0,9.1,786.7,1.226,7.4,0.09
2020-01-01 03:45:00,20024.77,15.4,39.3,4.7,1,3.3,805.1,1.224,0.4,0.05
2020-01-01 04:00:00,19332.93,23.3,35.1,4.2,1,85.6,131.8,1.2,9.0,0.1
2020-01-01 04:15:00,19548.53,14.5,43.1,1.4,1,49.3,427.8,1.227,1.5,0.06
2020-01-01 04:30:00,19686.79,24.1,49.5,2.9,0,42.4,494.5,1.198,0.9,0.05
2020-01-01 04:45:00,19713.81,11.4,45.8,7.5,1,88.3,111.3,1.236,2.3,0.06
2020-01-01 05:00:00,19237.91,20.4,42.1,7.7,0,96.3,32.8,1.209,0.4,0.05
2020-01-01 05:15:00,18694.12,24.6,47.2,9.2,1,14.8,769.3,1.196,6.1,0.08
2020-01-01 05:30:00,19228.77,21.6,33.4,2.4,1,52.8,439.8,1.205,1.6,0.06
2020-01-01 05:45:00,19975.47,15.4,44.6,2.3,1,14.8,799.2,1.224,7.8,0.09
2020-01-01 06:00:00,36388.65,11.0,47.1,9.3,0,80.1,169.9,1.237,9.1,0.1
2020-01-01 06:15:00,37119.19,20.5,43.5,3.0,1,98.8,11.6,1.209,0.8,0.05
2020-01-01 06:30:00,36105.14,16.5,40.2,8.1,0,91.0,79.9,1.221,7.4,0.09
2020-01-01 06:45:00,35232.31,15.3,46.8,8.5,0,49.9,492.9,1.224,5.4,0.08
2020-01-01 07:00:00,34131.37,10.6,38.1,4.9,0,88.5,100.1,1.238,9.5,0.1
2020-01-01 07:15:00,37160.82,22.0,42.5,5.7,0,90.3,95.2,1.204,0.0,0.05
2020-01-01 07:30:00,36492.6,18.4,48.7,3.6,0,42.5,520.0,1.215,5.0,0.08
2020-01-01 07:45:00,36066.97,17.0,33.1,9.6,0,31.1,673.2,1.219,1.0,0.06
2020-01-01 08:00:00,34007.16,18.0,32.0,3.0,0,7.9,903.3,1.216,2.2,0.06
2020-01-01 08:15:00,36603.37,14.1,35.5,2.9,1,50.6,443.7,1.228,5.1,0.08
2020-01-01 08:30:00,36574.93,23.3,31.2,5.6,1,3.6,837.6,1.2,0.8,0.05
2020-01-01 08:45:00,33861.8,16.8,36.6,6.0,0,24.2,687.8,1.22,6.7,0.08
2020-01-01 09:00:00,19366.15,13.3,48.0,3.5,0,85.3,124.6,1.23,0.5,0.05
